Class,F1,F2,F3,F4,F5_1,F5_2,F6_1,F6_2,F7_1,F7_2,F7_3,F7_4,F7_5,F7_6,F7_7,F7_8,F7_9,F7_10,F7_11,F7_12,F7_13,F7_14,F7_15,F7_16,F7_17,F7_18,F7_19,F7_20,F7_21,F7_22,F7_23,F7_24,F7_25,F7_26,F7_27,F7_28,F7_29,F7_30,F7_31,F7_32,F7_33,F7_34,F7_35,F7_36,F7_37,F7_38,F7_39,F7_40,F7_41,F7_42,F7_43,F7_44,F7_45,F8_1,F8_2,F8_3,F8_4,F8_5,F8_6,F8_7,F8_8,F8_9,F8_10,F8_11,F8_12,F8_13,F8_14,F8_15,F8_16,F8_17,F8_18,F8_19,F8_20,F8_21,F8_22,F8_23,F8_24,F8_25,F8_26,F8_27,F8_28,F8_29,F8_30,F8_31,F8_32,F8_33,F8_34,F8_35,F8_36,F8_37,F8_38,F8_39,F8_40,F8_41,F8_42,F8_43,F8_44,F9_1,F9_2,F9_3,F9_4,F9_5,F9_6,F9_7,F9_8,F9_9,F10,F11
1,103.75,1.215625,26.89375,5.34E-13,0.274134215,0.288058256,0.386079669,0.349162929,1593.84604,1592.86743,0.19375,0.1125,1.15625,-1.110625,0.446875,1.109375,-0.1575,-0.0375,8.67E-18,1.2525,0.3725,-0.049375,0.765,0.51875,-0.1,11.56,5.393125,-0.36875,0.795,4.8375,0.895625,0.66125,-0.23625,0.169375,0.266875,-0.191875,2.175,-3.2875,1.265625,-0.061875,0.09625,0.14875,0.26,0.141875,0.16375,0.0375,0.295625,0.198125,0.401875,6.070466216,6.49566334,6.93379789,6.419188442,0.351866066,0.011387123,-0.235987163,-0.759517478,-0.971301621,0.25489599,0.022753361,-0.056427492,-0.386768398,-0.865161633,0.223438641,0.02177248,-0.022060703,-0.20057814,-0.715860493,0.195900471,0.021932997,0.000199284,-0.019850425,-0.170194664,0.198036052,0.022068598,-0.000806454,-0.029719427,-0.238229905,0.229962688,0.016014376,-0.088347423,-0.500369432,-0.915369242,0.346133067,0.035864793,-0.055061169,-0.386631193,-0.865147907,0.254896126,0.022754728,-0.056413816,-0.386631662,-0.863795887,0.416490921,0.044317108,-0.054201293,-0.38654506,5.05625,0.54625,0.881875,0.4885625,-0.224375,0.0375,0.295625,0.198125,0.401875,6.070466216,-0.328125
1,88.63636364,1.902272727,31.11363636,0,0.156027074,0.340420342,0.595970976,0.642243334,2262.64024,2261.26438,0.06,-0.057272727,1.609090909,-0.545909091,0.332272727,1.125,0.038181818,0.172727273,-0.145454545,1.241363636,-0.097727273,0.121818182,0.825909091,0.045454545,0.063636364,11.72909091,5.159090909,0.640909091,0.569090909,6.731818182,0.842272727,0.663636364,-0.475,0.047272727,0.087727273,-0.081818182,1.609090909,-4.090454545,1.265909091,-0.009090909,0.151818182,0.125909091,0.398636364,0.085,0.246818182,-0.036363636,0.272727273,0.230909091,0.485454545,4.370250715,4.184406257,3.979125652,4.316869728,2.351855967,2.011286133,1.763003836,1.230481541,0.936790287,2.254892727,2.022720739,1.943246381,1.609979303,1.103185936,2.223437024,2.021756315,1.97777767,1.797807853,1.268221717,2.195897487,2.021903155,1.999900939,1.977173938,1.800808219,2.19803542,2.022062274,1.999130303,1.969648317,1.755465476,2.229962056,2.016008051,1.911589333,1.498998313,1.07832614,2.346128986,2.035823984,1.944530883,1.609303531,1.095566588,2.254892933,2.02272279,1.943266893,1.610184407,1.105234556,2.416480821,2.044216118,1.944789706,1.60345396,4.736363636,0.256363636,0.874090909,0.474772727,-0.120454545,-0.140909091,0.27,0.074545455,0.188181818,10.73727072,-0.135454545
0,89.09090909,-1.059090909,-10.78181818,1.01E-06,0.11579118,0.337236825,0.317861802,0.198904693,742.87354,742.4337,0.227272727,0.372727273,-0.436363636,-0.36,0.244545455,0.718181818,-0.007272727,-0.181818182,0.109090909,0.823636364,0.673636364,-0.045454545,0.6,0.990909091,-0.181818182,10.86545455,4.408181818,1.645454545,0.660909091,-1.836363636,0.95,0.603636364,0.126363636,-0.162727273,0.503636364,0.247272727,0.854545455,0.636363636,0.790909091,0.076363636,0.09,0.307272727,0.254545455,0.230909091,0.164545455,-0.527272727,0.192727273,-0.236363636,-0.118181818,8.590952553,9.537300874,10.34378652,9.137285661,1.031103242,0.972782169,0.759102613,0.230387563,-0.060252113,1.01496794,0.995280751,0.940491393,0.61000036,0.106155043,1.038033793,1.001443844,0.975736117,0.797697415,0.269149568,1.002159618,0.999985085,0.997689266,0.977050811,0.801779034,1.00138003,0.999836168,0.996971644,0.970371043,0.764899835,1.011433418,0.99135319,0.909185164,0.499696461,0.087758041,1.014967122,0.995272564,0.940409572,0.609187383,0.09852197,1.01496794,0.995280751,0.940491393,0.61000036,0.106155043,1.014961103,0.995212383,0.93980852,0.603251679,4.263636364,0.251818182,0.579090909,0.490818182,0.274545455,0.036363636,0.304545455,0.03,0.211818182,8.750028338,-0.467272727
0,150.9090909,-0.193636364,82.23636364,7.08E-08,0.107327201,0.343635174,0.188459046,0.190636087,1062.22784,1061.56444,0.295454545,0.391818182,0.772727273,-1.625454545,0.640909091,1.281818182,-0.381818182,-0.109090909,0.109090909,1.489090909,0.954545455,-0.208181818,0.687272727,0.972727273,-0.245454545,11.15818182,5.440909091,-1.445454545,0.92,3.227272727,0.850909091,0.630909091,0.028181818,0.246363636,0.550909091,-0.488181818,2.509090909,-1.937272727,1.518181818,0.133636364,-0.008181818,0.45,0.059090909,0.216363636,0.067272727,0.009090909,0.194545455,0.059090909,-0.061818182,9.598763023,10.39775952,10.34378652,9.947592146,-2.428263338,-2.961199603,-3.233156701,-3.75903574,-3.969275436,-2.578766279,-2.957682335,-3.054416203,-3.386368932,-3.863143679,-2.664745526,-2.965794153,-3.020797036,-3.20038902,-3.715215649,-2.653119906,-2.960594249,-2.998018971,-3.019606404,-3.169514838,-2.650983758,-2.960452986,-2.998968087,-3.028909375,-3.231907504,-2.619057122,-2.966507208,-3.086509057,-3.49955938,-3.909046841,-2.41361366,-2.933479777,-3.05188886,-3.386115086,-3.863118283,-2.578766279,-2.957682335,-3.054416203,-3.386368932,-3.863143679,-2.382748871,-2.931177524,-3.051675701,-3.386093954,5.236363636,1.075454545,1.048181818,0.500181818,-0.498181818,0.090909091,0.317272727,0.359090909,0.739090909,3.574483594,-0.693636364
1,115.4545455,0.562727273,82.23636364,7.08E-08,0.100937323,0.586179124,0.274134215,0.288058256,1036.14664,1035.51241,0.074545455,0.279090909,0.972727273,-1.041818182,0.482727273,1.063636364,-0.227272727,0.081818182,0.054545455,1.298181818,0.563636364,-0.07,0.727272727,0.554545455,-0.054545455,10.82454545,5.042727273,-0.018181818,0.691818182,4.063636364,0.805454545,0.613636364,-0.25,0.085454545,0.395454545,-0.58,1.854545455,-2.604545455,1.301818182,0.196363636,-0.008181818,0.605454545,0.059090909,0.309090909,0.067272727,-0.3,0.208181818,-0.198181818,0.004545455,4.370215387,4.184388696,3.979049938,4.316845554,-2.428263338,-2.961199603,-3.233156701,-3.75903574,-3.969275436,-2.578766279,-2.957682335,-3.054416203,-3.386368932,-3.863143679,-2.664745526,-2.965794153,-3.020797036,-3.20038902,-3.715215649,-2.653119906,-2.960594249,-2.998018971,-3.019606404,-3.169514838,-2.650983758,-2.960452986,-2.998968087,-3.028909375,-3.231907504,-2.619057122,-2.966507208,-3.086509057,-3.49955938,-3.909046841,-2.41361366,-2.933479777,-3.05188886,-3.386115086,-3.863118283,-2.578766279,-2.957682335,-3.054416203,-3.386368932,-3.863143679,-2.382748871,-2.931177524,-3.051675701,-3.386093954,4.609090909,0.775454545,0.913636364,0.447090909,-0.31,-0.018181818,0.296363636,0.167272727,0.517272727,3.574483594,-0.525454545
1,80,1.285454545,17.06363636,4.25E-07,0.268137985,0.946002445,0.09070216,0.258688572,993.09664,992.44845,-0.085454545,0.066363636,0.890909091,-0.553636364,0.286363636,0.726363636,-0.106363636,0.063636364,-0.036363636,0.767272727,-0.081818182,0.058181818,0.782727273,-0.063636364,-0.027272727,10.38545455,4.613636364,1.454545455,0.298181818,3.736363636,0.769090909,0.592727273,-0.534545455,-0.110909091,0.225454545,-0.249090909,1,-3.25,0.848181818,0.150909091,-0.007272727,0.56,0.049090909,0.309090909,0.056363636,-0.209090909,0.237272727,0.024545455,0.18,4.531386805,4.258131791,4.256729262,4.537970231,-1.648133734,-1.988610877,-2.235967163,-2.759317498,-2.969303619,-1.74510381,-1.977244639,-2.056407492,-2.386568418,-2.863163631,-1.776561296,-1.978226888,-2.022054379,-2.200514897,-2.715228238,-1.804099463,-1.97806634,-1.999794094,-2.019784201,-2.169532621,-1.801963315,-1.977925077,-2.00074321,-2.029087172,-2.231925287,-1.77003668,-1.9839793,-2.08828418,-2.499737176,-2.909064623,-1.653866733,-1.964133207,-2.055041169,-2.386431213,-2.863149905,-1.74510381,-1.977244639,-2.056407492,-2.386568418,-2.863163631,-1.583508879,-1.955680892,-2.054181294,-2.38634508,3.954545455,0.294545455,0.54,0.396,-0.057272727,-0.236363636,0.234545455,-0.126363636,0.217272727,3.665955558,-0.336363636
0,81.66666667,-0.775,5.1,1.22E-08,0.167096165,0.518515462,0.090013338,0.236890146,1045.28004,1044.50961,0.445,0.411666667,-1.358333333,-1.408333333,0.6025,0.8625,-0.443333333,-0.708333333,0.2,0.959166667,0.755,-0.2075,0.64,0.891666667,-0.708333333,11.105,5.368333333,-0.266666667,0.810833333,-5.675,1.033333333,0.650833333,0.308333333,0.153333333,0.450833333,-0.599166667,0.9,-1.024166667,1.0275,-0.044166667,0.08,-0.079166667,0.194166667,-0.035,0.114166667,-0.190909091,0.216363636,-0.092727273,-0.15,5.320324318,5.451854755,5.188153876,5.524675654,0.936325846,0.461371268,-0.152724198,-0.750251859,-0.96838894,0.924062012,0.495312373,0.031716612,-0.376946341,-0.862192526,1.007381948,0.76120662,0.216147655,-0.17006677,-0.712096461,0.911253478,0.500014596,0.08889339,-0.010105673,-0.168555869,0.910471256,0.49983933,0.087912357,-0.019411839,-0.230948855,0.920524643,0.491356352,0.000125877,-0.490086421,-0.908090649,0.976684599,0.710565124,0.14156753,-0.362343964,-0.860685934,0.924062012,0.495312373,0.031716612,-0.376946341,-0.862192526,0.984317673,0.7550593,0.181060594,-0.356193901,4.966666667,0.5975,0.675833333,0.513333333,-0.093333333,0.233333333,0.3,0.2425,0.334166667,6.741096324,-0.51
0,73.33333333,1.644166667,25.45,3.66E-08,0.185008912,0.329757985,0.273956446,0.547305038,1031.17714,1030.57708,-0.17,-0.068333333,1.466666667,0.173333333,0.101666667,0.7375,0.238333333,0.383333333,-0.166666667,0.846666667,-0.279166667,0.326666667,0.783333333,-0.125,0.341666667,10.63666667,4.246666667,2.3,0.415833333,6.133333333,0.763333333,0.59,-0.664166667,-0.218333333,-0.008333333,-0.114166667,0.275,-3.264166667,0.865,0.2,0.149166667,0.409166667,0.393333333,0.209166667,0.244166667,-0.181818182,0.214545455,-0.015454545,0.103636364,4.370236667,4.184375899,3.97905186,4.316881803,1.250973538,1.000192444,0.761903075,0.230569332,-0.061222931,1.181305371,1.014842055,0.942472683,0.610099856,0.105175995,1.149849532,1.013876263,0.976990297,0.79779167,0.268846029,1.153139142,1.017456845,0.999461077,0.977195496,0.801465795,1.152359271,1.017305097,0.998715145,0.970232712,0.761765309,1.162412659,1.008822119,0.910928665,0.49955813,0.084623514,1.255220095,1.025924994,0.943551882,0.609403521,0.09755459,1.18130544,1.014842739,0.94247952,0.610168224,0.105858868,1.215721012,1.01971475,0.942304113,0.603402814,3.65,-0.115833333,0.595833333,0.386333333,0.183333333,-0.191666667,0.244166667,-0.1275,-0.0725,8.747831707,-0.3025
1,53.63636364,2.92,7.272727273,1.70E-06,0.14593573,0.238479208,0.178597472,0.370098021,1079.22414,1078.58833,-0.143636364,-0.313636364,1.909090909,0.108181818,0.141818182,0.885454545,0.338181818,0.027272727,-0.290909091,0.765454545,-0.961818182,0.354545455,0.87,-0.709090909,0.027272727,10.25818182,4.202727273,1.627272727,0.443636364,8,0.71,0.580909091,-0.648181818,-0.050909091,-0.270909091,0.302727273,0.572727273,-5.357272727,0.899090909,-0.027272727,0.147272727,0.028181818,0.329090909,0.055454545,0.181818182,-0.3,0.220625,-0.25125,-0.196875,8.747831707,9.69502246,10.34378761,9.293812263,2.031103042,1.972780169,1.759082613,1.230187583,0.937749885,2.01496296,1.995230946,1.939993824,1.605072005,1.061222915,2.038027372,2.001379634,1.975094559,1.791335873,1.210531418,2.002153991,1.999928827,1.997127263,1.971487564,1.751345412,2.001371203,1.999747899,1.996089608,1.961615367,1.683309851,2.011431107,1.991330076,1.908954056,1.497389044,1.065043428,2.014960903,1.995210383,1.93978852,1.603051699,1.043901381,2.014963096,1.995232314,1.940007499,1.605208741,1.062588662,2.014960903,1.995210383,1.93978852,1.603051699,3.690909091,-0.127272727,0.539090909,0.382363636,0.097272727,-0.172727273,0.173636364,-0.108181818,-0.131818182,10.83498055,-0.208181818
0,106.3636364,-1.731818182,78.31818182,5.67E-07,0.224688254,0.102195615,0.182852618,0.177969027,938.16764,937.44013,0.729090909,0.478181818,-1.263636364,-2.31,0.880909091,1.336363636,-0.501818182,-0.9,0.3,1.423636364,1.278181818,-0.585454545,0.534545455,1.390909091,-1.027272727,11.36,5.454545455,-1.027272727,1.071818182,-5.3,0.97,0.658181818,0.753636364,0.345454545,0.629090909,-0.192727273,3.809090909,0.208181818,1.49,-0.167272727,0,-0.174545455,0,-0.007272727,0,-0.072727273,0.235454545,0.147272727,0.299090909,9.750040517,10.54999919,10.51000125,10.09998398,0.030903262,-0.029215833,-0.260699367,-0.951430618,-2.060252113,0.013961287,-0.014740811,-0.155439619,-1.062449166,-2.604104021,0.03739518,-0.004924352,-0.086205977,-0.68910703,-2.308330179,0.000833543,-0.013197649,-0.126815547,-0.824130025,-1.985074545,0.000436802,-0.009556928,-0.093214167,-0.675108707,-1.958108588,0.010496706,-0.017974751,-0.180349719,-1.13933503,-2.576375011,0.014761123,-0.006785619,-0.07999346,-0.578566503,-1.954100617,0.013961287,-0.014740811,-0.155439619,-1.062449166,-2.604104021,0.014328847,-0.011092235,-0.12149834,-0.877254468,4.6,1.015454545,1.002727273,0.616272727,-0.319090909,0.463636364,0.319090909,0.471818182,0.764545455,5.510747421,0.069090909
